Nation,ISO2,Badge,1924,1928,1932,1936,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1994,1998,2002,2006,2010,2014,2018,2022
United States,us,,1,2,4,4,5,9,14,18,18,18,18,18,18,18,18,18,19,21,24,26,28,28,28,28
Russia,ru,,,,,,,,,,,,,,,,,,5,10,15,19,21,21,21,21
Austria,at,,3,7,9,12,14,15,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
Canada,ca,,,,1,1,3,3,4,6,6,6,6,6,6,6,6,6,8,9,10,11,13,13,13,13
France,fr,,1,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,7,8,8,8,8,8,8
China,cn,,,,,,,,,,,,,,,,,,1,2,3,5,7,7,7,7
Germany,de,,,,,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5
Great Britain,gb,,1,1,1,2,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5
Hungary,hu,,,,1,2,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Sweden,se,,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Switzerland,ch,,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3
Japan,jp,,,,,,,,,,,,,,,,,,,,,1,3,3,3,3
Norway,no,,,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Belgium,be,,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ukraine,ua,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,2,2
Czechoslovakia,,czechoslovakia.svg,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Netherlands,nl,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South Korea,kr,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
Finland,fi,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
United Team of Germany,,united-team-of-germany.svg,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Italy,it,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
