Company,Logo,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
NVIDIA,https://companiesmarketcap.com/img/company-logos/64/NVDA.png,,,,960000000,2220000000,6440000000,1200000000,2500000000,3910000000,6250000000,13150000000,18900000000,4330000000,10360000000,8940000000,8460000000,7660000000,9100000000,10890000000,17730000000,57530000000,117260000000,81430000000,144000000000,323240000000,735270000000,364180000000,1223000000000,3288000000000,4638000000000,5009000000000
Apple,https://companiesmarketcap.com/img/company-logos/64/AAPL.png,2600000000,1680000000,5540000000,16570000000,5130000000,7710000000,5160000000,7880000000,26050000000,60790000000,72980000000,174030000000,75990000000,190980000000,297090000000,377510000000,499690000000,500740000000,643120000000,583610000000,608960000000,860880000000,746070000000,1287000000000,2255000000000,2901000000000,2066000000000,2994000000000,3766000000000,3997000000000,4891000000000
Alphabet (Google),https://companiesmarketcap.com/img/company-logos/64/GOOG.png,,,,,,,,,,,,,,,,,,,359500000000,528160000000,539060000000,729450000000,723550000000,921130000000,1185000000000,1917000000000,1145000000000,1756000000000,2365000000000,3802000000000,3902000000000
Microsoft,https://companiesmarketcap.com/img/company-logos/64/MSFT.png,99410000000,157360000000,348100000000,604410000000,230800000000,358050000000,276630000000,295290000000,290710000000,271540000000,291940000000,332110000000,172920000000,268550000000,234520000000,218380000000,223660000000,310500000000,381720000000,439670000000,483160000000,659900000000,780360000000,1200000000000,1681000000000,2522000000000,1787000000000,2794000000000,3200000000000,3625000000000,2835000000000
Amazon,https://companiesmarketcap.com/img/company-logos/64/AMZN.png,,1440000000,17050000000,26270000000,5550000000,4030000000,7320000000,21220000000,18140000000,19610000000,16330000000,38530000000,21990000000,59720000000,81180000000,78710000000,113890000000,183040000000,144310000000,318340000000,356310000000,563530000000,737460000000,920220000000,1634000000000,1691000000000,856940000000,1570000000000,2352000000000,2485000000000,2496000000000
TSMC,https://companiesmarketcap.com/img/company-logos/64/TSM.png,,14840000000,17170000000,69030000000,40320000000,57800000000,26260000000,41510000000,39480000000,49010000000,56460000000,51040000000,40480000000,52210000000,63550000000,65310000000,86830000000,91390000000,115310000000,109640000000,145700000000,199410000000,191190000000,286570000000,488120000000,575930000000,386310000000,539380000000,1045000000000,1570000000000,2092000000000
Broadcom,https://companiesmarketcap.com/img/company-logos/64/AVGO.png,,,,,,,,,,,,,,4300000000,6860000000,7050000000,7770000000,13160000000,25680000000,40130000000,70520000000,105160000000,103560000000,125710000000,178070000000,274730000000,233650000000,461010000000,1133000000000,1669000000000,1817000000000
Saudi Aramco,https://companiesmarketcap.com/img/company-logos/64/2222.SR.png,,,,,,,,,,,,,,,,,,,,,,,,1880000000000,2053000000000,1908000000000,1881000000000,2133000000000,1805000000000,1527000000000,1729000000000
SpaceX,https://companiesmarketcap.com/img/company-logos/64/SPCX.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1515000000000
Meta Platforms (Facebook),https://companiesmarketcap.com/img/company-logos/64/META.png,,,,,,,,,,,,,,,,,63140000000,139190000000,216730000000,296600000000,331590000000,512750000000,374130000000,585370000000,778230000000,921930000000,319880000000,909620000000,1514000000000,1671000000000,1510000000000
Tesla,https://companiesmarketcap.com/img/company-logos/64/TSLA.png,,,,,,,,,,,,,,,2520000000,2970000000,3860000000,18510000000,27950000000,31540000000,34420000000,52320000000,57440000000,75710000000,668900000000,1061000000000,388970000000,789890000000,1385000000000,1580000000000,1236000000000
Samsung,https://companiesmarketcap.com/img/company-logos/64/005930.KS.png,,,,,,,,,,,,78610000000,46120000000,90120000000,109320000000,130660000000,208130000000,189440000000,176450000000,153770000000,203990000000,319260000000,230360000000,319730000000,500830000000,442070000000,293000000000,401540000000,242970000000,542110000000,1123000000000
Berkshire Hathaway,https://companiesmarketcap.com/img/company-logos/64/BRK-B.png,42000000000,56770000000,90930000000,85080000000,108250000000,115560000000,111630000000,129510000000,135300000000,136380000000,169640000000,219370000000,149560000000,153620000000,198310000000,189210000000,220610000000,292410000000,370660000000,325280000000,401640000000,489240000000,502370000000,551960000000,543670000000,669120000000,681770000000,777450000000,983860000000,1074000000000,1067000000000
Eli Lilly,https://companiesmarketcap.com/img/company-logos/64/LLY.png,40630000000,77320000000,97440000000,72500000000,104840000000,88220000000,71270000000,79030000000,64230000000,63950000000,58950000000,60560000000,45780000000,41030000000,40370000000,48110000000,56540000000,56950000000,76620000000,93120000000,81190000000,92990000000,122380000000,125840000000,161500000000,264220000000,347610000000,553360000000,704310000000,966150000000,1066000000000
Micron Technology,https://companiesmarketcap.com/img/company-logos/64/MU.png,6120000000,5480000000,12500000000,19810000000,21050000000,18590000000,5900000000,8200000000,7560000000,8230000000,10650000000,5510000000,2010000000,8820000000,7990000000,6210000000,6470000000,23010000000,37630000000,14650000000,24090000000,47540000000,35570000000,59740000000,83960000000,104320000000,54530000000,94200000000,98740000000,320530000000,1040000000000
JPMorgan Chase,https://companiesmarketcap.com/img/company-logos/64/JPM.png,38500000000,46090000000,60200000000,64260000000,87620000000,72080000000,47960000000,75020000000,138720000000,138380000000,167190000000,146980000000,117680000000,164260000000,165870000000,126340000000,167250000000,219650000000,232470000000,241890000000,308760000000,371050000000,319780000000,429910000000,387330000000,466190000000,393340000000,491760000000,678970000000,901670000000,938900000000
Walmart,https://companiesmarketcap.com/img/company-logos/64/WMT.png,52180000000,88570000000,181070000000,307880000000,237290000000,256500000000,223430000000,230100000000,223680000000,194850000000,192470000000,190340000000,219890000000,203650000000,192090000000,204650000000,228240000000,254620000000,276800000000,196270000000,212410000000,292530000000,270620000000,337160000000,407840000000,401350000000,382370000000,424430000000,736340000000,890880000000,871170000000
SK Hynix,https://companiesmarketcap.com/img/company-logos/64/000660.KS.png,,,,,,,,,,,,12740000000,2470000000,9240000000,12560000000,11240000000,17210000000,24780000000,31730000000,18460000000,26180000000,50490000000,37070000000,55660000000,74600000000,75700000000,40650000000,77400000000,81730000000,286610000000,856060000000
Visa,https://companiesmarketcap.com/img/company-logos/64/V.png,,,,,,,,,,,,,44370000000,60900000000,48370000000,67760000000,99790000000,140370000000,161090000000,186080000000,186810000000,266140000000,299350000000,416790000000,482170000000,469420000000,439950000000,535060000000,617070000000,685110000000,676520000000
Exxon Mobil,https://companiesmarketcap.com/img/company-logos/64/XOM.png,121710000000,150330000000,177540000000,280120000000,301240000000,267590000000,234500000000,269280000000,328110000000,344490000000,439010000000,504230000000,406060000000,322330000000,364060000000,406270000000,389640000000,438700000000,388380000000,323960000000,374280000000,354390000000,288920000000,295440000000,174280000000,259380000000,454240000000,399590000000,467980000000,507790000000,650500000000
Johnson & Johnson,https://companiesmarketcap.com/img/company-logos/64/JNJ.png,66290000000,88610000000,112730000000,129580000000,146130000000,180090000000,159420000000,153320000000,188420000000,178760000000,191010000000,189440000000,166000000000,177710000000,169850000000,179080000000,194770000000,258340000000,291040000000,284220000000,313430000000,375360000000,343570000000,384000000000,414300000000,450350000000,461840000000,377310000000,349220000000,500240000000,634060000000
Tencent,https://companiesmarketcap.com/img/company-logos/64/TCEHY.png,,,,,,,,,,,,2750000000,,,7790000000,7210000000,59530000000,118750000000,135890000000,184980000000,230000000000,493310000000,381650000000,460660000000,699780000000,562840000000,405090000000,358920000000,489750000000,705580000000,500490000000
Mastercard,https://companiesmarketcap.com/img/company-logos/64/MA.png,,,,,,,,,,,13290000000,28240000000,18470000000,33210000000,29330000000,47320000000,60540000000,133860000000,99300000000,108650000000,112500000000,160230000000,194490000000,300680000000,355840000000,352070000000,334320000000,399970000000,488460000000,523960000000,476830000000
Intel,https://companiesmarketcap.com/img/company-logos/64/INTC.png,107500000000,114370000000,196510000000,274430000000,202050000000,210400000000,102370000000,207900000000,146250000000,147730000000,116780000000,154300000000,81530000000,112660000000,115890000000,123480000000,101940000000,128910000000,172300000000,162770000000,171880000000,216020000000,211930000000,256750000000,204160000000,209600000000,109070000000,211850000000,87550000000,172670000000,464000000000
Cisco,https://companiesmarketcap.com/img/company-logos/64/CSCO.png,41710000000,56030000000,145990000000,355120000000,275290000000,132830000000,95150000000,167260000000,127210000000,105160000000,165960000000,164230000000,95430000000,137710000000,112130000000,97190000000,104320000000,119920000000,142230000000,137840000000,151690000000,189340000000,194810000000,203450000000,189090000000,267260000000,195700000000,205280000000,237410000000,308810000000,449990000000
Bank of America,https://companiesmarketcap.com/img/company-logos/64/BAC.png,29430000000,43310000000,103680000000,84170000000,74020000000,98150000000,104400000000,116050000000,190480000000,214540000000,238770000000,183280000000,70640000000,130270000000,134530000000,56350000000,125130000000,164910000000,188140000000,174690000000,223320000000,307910000000,238250000000,311200000000,262200000000,359380000000,265700000000,266450000000,340210000000,416040000000,435460000000
China Construction Bank,https://companiesmarketcap.com/img/company-logos/64/601939.SS.png,,,,,,,,,,,,202890000000,128460000000,201330000000,222620000000,175070000000,200200000000,188160000000,208200000000,173490000000,192560000000,232750000000,207220000000,217990000000,192210000000,175350000000,157960000000,152140000000,211810000000,339420000000,397050000000
Chevron,https://companiesmarketcap.com/img/company-logos/64/CVX.png,42400000000,50560000000,54110000000,56840000000,54190000000,57570000000,42710000000,93000000000,110640000000,126740000000,159150000000,195100000000,148250000000,154570000000,183180000000,211890000000,210510000000,239020000000,210850000000,169370000000,222190000000,237780000000,207000000000,226820000000,162560000000,226210000000,347060000000,281570000000,256740000000,302260000000,387940000000
UnitedHealth,https://companiesmarketcap.com/img/company-logos/64/UNH.png,8310000000,9490000000,7920000000,8890000000,19470000000,21840000000,25000000000,33910000000,56600000000,84380000000,72260000000,72920000000,32120000000,34960000000,39210000000,54020000000,55270000000,74390000000,96430000000,112110000000,152320000000,213640000000,239150000000,278690000000,332730000000,472940000000,495370000000,486940000000,469330000000,300580000000,382090000000
General Electric,https://companiesmarketcap.com/img/company-logos/64/GE.png,162760000000,239770000000,334000000000,509940000000,476160000000,398220000000,243330000000,312230000000,386890000000,365340000000,382420000000,370240000000,161270000000,161330000000,194150000000,189080000000,218410000000,282000000000,254140000000,292160000000,279540000000,151320000000,65870000000,97520000000,94600000000,103740000000,91550000000,138910000000,184070000000,334180000000,367010000000
HSBC,https://companiesmarketcap.com/img/company-logos/64/HSBC.png,65960000000,76760000000,76190000000,138550000000,156550000000,128190000000,119630000000,198260000000,218300000000,208310000000,243410000000,227250000000,135210000000,198760000000,180540000000,136150000000,193140000000,205670000000,182040000000,156370000000,160310000000,206080000000,164460000000,160170000000,105160000000,122930000000,124440000000,156170000000,176710000000,274550000000,354620000000
Coca-Cola,https://companiesmarketcap.com/img/company-logos/64/KO.png,130560000000,164760000000,165180000000,143960000000,151410000000,117220000000,108320000000,123900000000,100320000000,95490000000,111840000000,142250000000,104730000000,131270000000,150740000000,158910000000,162000000000,181840000000,184330000000,185750000000,178810000000,195470000000,202080000000,236890000000,235670000000,255750000000,275080000000,254770000000,269020000000,300690000000,353870000000
Roche,https://companiesmarketcap.com/img/company-logos/64/RO.SW.png,,,,,,,,,,,175470000000,151500000000,135330000000,148850000000,127440000000,147640000000,315460000000,238150000000,231650000000,238410000000,195430000000,215960000000,210640000000,276350000000,299200000000,359630000000,259590000000,234390000000,226770000000,330760000000,350500000000
Procter & Gamble,https://companiesmarketcap.com/img/company-logos/64/PG.png,73130000000,107090000000,121110000000,144150000000,101950000000,102560000000,111110000000,129140000000,138940000000,190370000000,202790000000,225940000000,181180000000,176100000000,180170000000,183540000000,185450000000,220730000000,245980000000,214760000000,224990000000,233090000000,229940000000,308430000000,345010000000,392110000000,359150000000,345370000000,399240000000,338760000000,343250000000
Home Depot,https://companiesmarketcap.com/img/company-logos/64/HD.png,22330000000,40180000000,84210000000,158310000000,106050000000,120350000000,55720000000,80740000000,93850000000,85990000000,81960000000,45460000000,39020000000,49190000000,57450000000,64800000000,92470000000,115950000000,138330000000,167670000000,163330000000,221320000000,194070000000,238210000000,285960000000,433360000000,321920000000,344900000000,390250000000,348210000000,332010000000
Oracle,https://companiesmarketcap.com/img/company-logos/64/ORCL.png,27440000000,21940000000,41360000000,158090000000,162340000000,75910000000,56900000000,69160000000,71680000000,63020000000,88820000000,115980000000,89460000000,122920000000,158140000000,128910000000,157740000000,172070000000,197470000000,153470000000,157730000000,195720000000,162030000000,169940000000,190440000000,232880000000,220390000000,289810000000,472570000000,568850000000,331220000000
ICBC,https://companiesmarketcap.com/img/company-logos/64/1398.HK.png,,,,,,,,,,,355880000000,453070000000,263070000000,408420000000,362730000000,331280000000,361250000000,335120000000,404020000000,353050000000,332880000000,472840000000,399830000000,434300000000,262020000000,244820000000,211120000000,223800000000,313500000000,352480000000,326770000000
Merck,https://companiesmarketcap.com/img/company-logos/64/MRK.png,96070000000,126520000000,174080000000,156480000000,216040000000,135630000000,127440000000,102640000000,70980000000,69400000000,94510000000,126240000000,64270000000,113570000000,111070000000,114900000000,123910000000,146520000000,161170000000,146890000000,162310000000,153300000000,198090000000,230920000000,206950000000,193580000000,281300000000,276250000000,252200000000,266710000000,323710000000
Novartis,https://companiesmarketcap.com/img/company-logos/64/NVS.png,,,134220000000,96130000000,116640000000,93000000000,90900000000,113240000000,122650000000,122580000000,134880000000,122980000000,112690000000,125030000000,134580000000,138090000000,152330000000,194640000000,224010000000,208460000000,172980000000,197180000000,197280000000,214830000000,217770000000,196460000000,195130000000,207530000000,196700000000,267050000000,294620000000
